Game,Player_ID,length (m),orientation (deg.),time (s)
1,DB,0.4658617057538936,104.80968951702631,1.0
1,DB,1.3330532042595353,191.21063306249798,1.0
1,DB,1.3330532076900266,191.21063309524482,1.0
1,DB,1.3330532096933252,191.21063306249798,1.0
1,DB,1.3330532117122686,191.21063307547868,1.0
1,DB,1.3330532179658672,191.21063306249798,1.0
1,DB,1.3330532214120085,191.21063309524482,1.0
1,DB,1.333053223415314,191.21063306249798,1.0
1,DB,0.23493797654068269,34.13593994255416,1.0
1,DB,0.2349379768608223,34.13594007791228,1.0
1,DB,0.23493797569672753,34.13593989437585,1.0
1,DB,0.23493797448033307,34.13593994255416,1.0
1,DB,0.2349379719366035,34.13593994255416,1.0
1,DB,0.23493797215214401,34.13593989437585,1.0
1,DB,0.23493797104034933,34.13594007791228,1.0
